+-----------------------------------+------------+----+
|                term               |   docID    | df |
|        ('isabel', 'washed')       |   ['2']    | 1  |
|          ('island', 'to')         |   ['2']    | 1  |
|        ('islands', 'from')        |   ['2']    | 1  |
|          ('it', 'moved')          |   ['2']    | 1  |
|         ('it', 'quickly')         |   ['2']    | 1  |
|         ('it', 'steadily')        |   ['2']    | 1  |
|        ('its', 'location')        |   ['1']    | 1  |
|           ('kmh', 'on')           |   ['2']    | 1  |
|          ('known', 'as')          |   ['2']    | 1  |
|          ('land', 'and')          |   ['2']    | 1  |
|         ('landfall', 'on')        |   ['2']    | 1  |
|        ('large', 'bodies')        |   ['1']    | 1  |
|         ('light', 'wind')         |   ['2']    | 1  |
|       ('local', 'flooding')       |   ['2']    | 1  |
|        ('location', 'and')        |   ['1']    | 1  |
|    ('low-level', 'atmospheric')   |   ['1']    | 1  |
|     ('low-pressure', 'center')    |   ['1']    | 1  |
|        ('made', 'landfall')       |   ['2']    | 1  |
|       ('mainly', 'because')       |   ['1']    | 1  |
|       ('major', 'hurricane')      |   ['2']    | 1  |
|    ('mid-latitude', 'cyclonic')   |   ['1']    | 1  |
|          ('moist', 'air')         |   ['1']    | 1  |
|      ('momentum', 'imparted')     |   ['1']    | 1  |
|         ('more', 'rural')         |   ['2']    | 1  |
|         ('most', 'deaths')        |   ['2']    | 1  |
|     ('moved', 'northwestward')    |   ['2']    | 1  |
|          ('moving', 'in')         |   ['1']    | 1  |
|           ('mph', '165')          |   ['2']    | 1  |
|           ('mph', '265')          |   ['2']    | 1  |
|         ('named', 'storm')        |   ['2']    | 1  |
|       ('names', 'including')      |   ['1']    | 1  |
|          ('near', 'the')          |   ['2']    | 1  |
|          ('next', 'day')          |   ['2']    | 1  |
|         ('ninth', 'named')        |   ['2']    | 1  |
|       ('noreasters', 'and')       |   ['1']    | 1  |
|          ('north', 'as')          | ['1', '2'] | 2  |
|       ('north', 'carolina')       |   ['2']    | 1  |
|    ('northeastern', 'pacific')    |   ['1']    | 1  |
|     ('northern', 'hemisphere')    |   ['1']    | 1  |
|    ('northwestern', 'pacific')    |   ['1']    | 1  |
|      ('northwestward', 'and')     |   ['2']    | 1  |
|         ('occurred', 'in')        |   ['2']    | 1  |
|          ('occurs', 'in')         |   ['1']    | 1  |
|          ('ocean', 'and')         |   ['1']    | 1  |
|        ('ocean', 'basins')        |   ['1']    | 1  |
|      ('ocean', 'comparable')      |   ['1']    | 1  |
|          ('ocean', 'it')          |   ['2']    | 1  |
|        ('ocean', 'surface')       |   ['1']    | 1  |
|         ('ocean', 'while')        |   ['1']    | 1  |
|           ('of', '105')           |   ['2']    | 1  |
|           ('of', '165')           |   ['2']    | 1  |
|            ('of', 'a')            |   ['1']    | 1  |
|         ('of', 'angular')         |   ['1']    | 1  |
|       ('of', 'circulation')       |   ['1']    | 1  |
|         ('of', 'dollars')         |   ['2']    | 1  |
|         ('of', 'hatteras')        |   ['2']    | 1  |
|          ('of', 'homes')          |   ['2']    | 1  |
|          ('of', 'isabel')         |   ['2']    | 1  |
|          ('of', 'light')          |   ['2']    | 1  |
|       ('of', 'mid-latitude')      |   ['1']    | 1  |
|          ('of', 'north')          |   ['2']    | 1  |
|        ('of', 'relatively')       |   ['1']    | 1  |
|          ('of', 'rivers')         |   ['2']    | 1  |
|         ('of', 'rotation')        |   ['1']    | 1  |
|           ('of', 'the')           | ['1', '2'] | 2  |
|          ('of', 'these')          |   ['1']    | 1  |
|      ('of', 'thunderstorms')      |   ['1']    | 1  |
|         ('of', 'virginia')        |   ['2']    | 1  |
|          ('of', 'water')          |   ['1']    | 1  |
|           ('on', 'its')           |   ['1']    | 1  |
|        ('on', 'september')        |   ['2']    | 1  |
|           ('on', 'the')           |   ['2']    | 1  |
|     ('opposite', 'direction')     |   ['1']    | 1  |
|         ('or', 'cyclonic')        |   ['1']    | 1  |
|           ('or', 'even')          |   ['2']    | 1  |
|          ('or', 'indian')         |   ['1']    | 1  |
|          ('origin', 'of')         |   ['1']    | 1  |
|            ('out', 'a')           |   ['2']    | 1  |
|         ('outer', 'banks')        |   ['2']    | 1  |
|        ('outer', 'banks,')        |   ['2']    | 1  |
|          ('over', 'land')         |   ['2']    | 1  |
|         ('over', 'large')         |   ['1']    | 1  |
|        ('over', 'tropical')       |   ['1']    | 1  |
|        ('over', 'western')        |   ['2']    | 1  |
|        ('pacific', 'ocean')       |   ['1']    | 1  |
|         ('pacific', 'or')         |   ['1']    | 1  |
|         ('peak', 'winds')         |   ['2']    | 1  |
|      ('pennsylvania', 'the')      |   ['2']    | 1  |
|         ('permit', 'the')         |   ['1']    | 1  |
|         ('portion', 'of')         |   ['2']    | 1  |
|        ('primarily', 'by')        |   ['1']    | 1  |
|        ('produce', 'heavy')       |   ['1']    | 1  |
|    ('quartersphere', 'mainly')    |   ['1']    | 1  |
|      ('quickly', 'weakened')      |   ['2']    | 1  |
|       ('rain', 'depending')       |   ['1']    | 1  |
|          ('rain', 'when')         |   ['1']    | 1  |
|      ('rapidly', 'rotating')      |   ['1']    | 1  |
|         ('rarely', 'form')        |   ['1']    | 1  |
|         ('reach', 'peak')         |   ['2']    | 1  |
|      ('recondenses', 'into')      |   ['1']    | 1  |
|         ('referred', 'to')        |   ['1']    | 1  |
|          ('refers', 'to')         |   ['1']    | 1  |
|       ('relatively', 'warm')      |   ['1']    | 1  |
|        ('reported', 'the')        |   ['2']    | 1  |
|          ('result', 'of')         |   ['1']    | 1  |
|         ('result', 'they')        |   ['1']    | 1  |
|        ('richmond', 'and')        |   ['2']    | 1  |
|          ('rises', 'and')         |   ['1']    | 1  |
|          ('rivers', 'as')         |   ['2']    | 1  |
|         ('roads', 'area')         |   ['2']    | 1  |
|       ('rotating', 'storm')       |   ['1']    | 1  |
|       ('rotating', 'winds')       |   ['1']    | 1  |
|         ('rotation', 'as')        |   ['1']    | 1  |
|         ('round', 'their')        |   ['1']    | 1  |
|         ('rural', 'areas')        |   ['2']    | 1  |
|       ('saturation', 'this')      |   ['1']    | 1  |
|         ('seas', 'refers')        |   ['1']    | 1  |
|        ('season', 'isabel')       |   ['2']    | 1  |
|         ('season', 'the')         |   ['2']    | 1  |
|        ('second', 'major')        |   ['2']    | 1  |
|        ('september', '11')        |   ['2']    | 1  |
|        ('september', '18')        |   ['2']    | 1  |
|         ('september', '6')        |   ['2']    | 1  |
|         ('service', 'was')        |   ['2']    | 1  |
|        ('several', 'days')        |   ['2']    | 1  |
|          ('shapes', 'of')         |   ['1']    | 1  |
|          ('shear', 'and')         |   ['2']    | 1  |
|          ('shores', 'of')         |   ['2']    | 1  |
|          ('simply', 'as')         |   ['1']    | 1  |
|       ('simply', 'cyclone')       |   ['1']    | 1  |
|          ('some', 'more')         |   ['2']    | 1  |
|       ('source', 'differs')       |   ['1']    | 1  |
|       ('south', 'american')       |   ['1']    | 1  |
|        ('south', 'pacific')       |   ['1']    | 1  |
|     ('southern', 'hemisphere')    |   ['1']    | 1  |
| ('southwestern', 'quartersphere') |   ['1']    | 1  |
|     ('spiral', 'arrangement')     |   ['1']    | 1  |
|    ('steadily', 'strengthened')   |   ['2']    | 1  |
|       ('storm', 'cyclonic')       |   ['1']    | 1  |
|         ('storm', 'fifth')        |   ['2']    | 1  |
|         ('storm', 'surge')        |   ['2']    | 1  |
