+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
|         ('disrupted', 'in', 'areas')        |   ['2']    | 1  |
|         ('dollars', 'in', 'damage')         |   ['2']    | 1  |
|             ('due', 'to', 'the')            |   ['1']    | 1  |
|         ('earths', 'rotation', 'as')        |   ['1']    | 1  |
|      ('effect', 'tropical', 'cyclones')     |   ['1']    | 1  |
|         ('effects', 'of', 'isabel')         |   ['2']    | 1  |
|        ('electric', 'service', 'was')       |   ['2']    | 1  |
|       ('electricity', 'for', 'weeks')       |   ['2']    | 1  |
|       ('energy', 'source', 'differs')       |   ['1']    | 1  |
|         ('energy', 'through', 'the')        |   ['1']    | 1  |
|        ('environment', 'of', 'light')       |   ['2']    | 1  |
|     ('equator', 'tropical', 'cyclones')     |   ['1']    | 1  |
|         ('especially', 'in', 'the')         |   ['2']    | 1  |
|     ('european', 'windstorms', 'which')     |   ['1']    | 1  |
|        ('evaporation', 'of', 'water')       |   ['1']    | 1  |
|         ('even', 'destroyed', 'the')        |   ['2']    | 1  |
|       ('excessively', 'cool', 'water')      |   ['1']    | 1  |
|     ('exclusively', 'over', 'tropical')     |   ['1']    | 1  |
|     ('extratropical', 'over', 'western')    |   ['2']    | 1  |
|           ('eye', 'with', 'their')          |   ['1']    | 1  |
|            ('far', 'north', 'as')           |   ['1']    | 1  |
|            ('far', 'west', 'and')           |   ['2']    | 1  |
|        ('fifth', 'hurricane', 'and')        |   ['2']    | 1  |
|     ('flooding', 'caused', 'thousands')     |   ['2']    | 1  |
|        ('flows', 'inwards', 'toward')       |   ['1']    | 1  |
|      ('fluctuating', 'in', 'intensity')     |   ['2']    | 1  |
|           ('for', 'four', 'days')           |   ['2']    | 1  |
|          ('for', 'several', 'days')         |   ['2']    | 1  |
|           ('for', 'weeks', 'and')           |   ['2']    | 1  |
|      ('form', 'almost', 'exclusively')      |   ['1']    | 1  |
|          ('form', 'over', 'large')          |   ['1']    | 1  |
|           ('form', 'what', 'was')           |   ['2']    | 1  |
|           ('form', 'within', 'of')          |   ['1']    | 1  |
|          ('formed', 'near', 'the')          |   ['2']    | 1  |
|          ('four', 'days', 'isabel')         |   ['2']    | 1  |
|          ('from', 'a', 'tropical')          |   ['2']    | 1  |
|         ('from', 'isabel', 'washed')        |   ['2']    | 1  |
|  ('from', 'southwestern', 'quartersphere')  |   ['1']    | 1  |
|            ('from', 'that', 'of')           |   ['1']    | 1  |
|         ('from', 'the', 'hurricane')        |   ['2']    | 1  |
|           ('from', 'the', 'ocean')          |   ['1']    | 1  |
|        ('fueled', 'primarily', 'by')        |   ['1']    | 1  |
|       ('geographical', 'origin', 'of')      |   ['1']    | 1  |
|       ('gradually', 'weakened', 'and')      |   ['2']    | 1  |
|         ('greatest', 'along', 'the')        |   ['2']    | 1  |
|         ('hampton', 'roads', 'area')        |   ['2']    | 1  |
|         ('hatteras', 'island', 'to')        |   ['2']    | 1  |
|        ('heavy', 'rain', 'depending')       |   ['1']    | 1  |
|       ('hemisphere', 'and', 'blowing')      |   ['1']    | 1  |
|      ('hemisphere', 'the', 'opposite')      |   ['1']    | 1  |
|           ('homes', 'by', 'were')           |   ['2']    | 1  |
|  ('horizontal', 'temperature', 'contrasts') |   ['1']    | 1  |
|        ('humboldt', 'currents', 'to')       |   ['1']    | 1  |
|         ('hurricane', 'about', '64')        |   ['2']    | 1  |
|        ('hurricane', 'and', 'second')       |   ['2']    | 1  |
|          ('hurricane', 'in', 'the')         |   ['2']    | 1  |
|           ('hurricane', 'is', 'a')          |   ['1']    | 1  |
|        ('hurricane', 'isabel', 'was')       |   ['2']    | 1  |
|          ('hurricane', 'of', 'the')         |   ['2']    | 1  |
|        ('hurricane', 'season', 'the')       |   ['2']    | 1  |
|     ('hurricane', 'typhoon', 'tropical')    |   ['1']    | 1  |
|          ('imparted', 'by', 'the')          |   ['1']    | 1  |
|            ('in', 'a', 'circle')            |   ['1']    | 1  |
|            ('in', 'areas', 'of')            |   ['2']    | 1  |
|            ('in', 'damage', '\n')           |   ['2']    | 1  |
|          ('in', 'diameter', 'the')          |   ['1']    | 1  |
|          ('in', 'intensity', 'for')         |   ['2']    | 1  |
|         ('in', 'north', 'carolina')         |   ['2']    | 1  |
|            ('in', 'the', '2003')            |   ['2']    | 1  |
|          ('in', 'the', 'atlantic')          |   ['1']    | 1  |
|           ('in', 'the', 'hampton')          |   ['2']    | 1  |
|          ('in', 'the', 'northern')          |   ['1']    | 1  |
|        ('in', 'the', 'northwestern')        |   ['1']    | 1  |
|            ('in', 'the', 'south')           |   ['1']    | 1  |
|          ('in', 'the', 'southern')          |   ['1']    | 1  |
|          ('in', 'the', 'tropical')          |   ['2']    | 1  |
|       ('in', 'virginia', 'especially')      |   ['2']    | 1  |
|    ('including', 'hurricane', 'typhoon')    |   ['1']    | 1  |
|      ('indian', 'ocean', 'comparable')      |   ['1']    | 1  |
|          ('inlet', 'damage', 'was')         |   ['2']    | 1  |
|         ('intensity', 'for', 'four')        |   ['2']    | 1  |
|          ('into', 'clouds', 'and')          |   ['1']    | 1  |
|         ('inwards', 'toward', 'the')        |   ['1']    | 1  |
|            ('is', 'a', 'rapidly')           |   ['1']    | 1  |
|           ('is', 'a', 'tropical')           |   ['1']    | 1  |
|             ('is', 'due', 'to')             |   ['1']    | 1  |
|           ('is', 'referred', 'to')          |   ['1']    | 1  |
|         ('isabel', 'formed', 'near')        |   ['2']    | 1  |
|     ('isabel', 'gradually', 'weakened')     |   ['2']    | 1  |
|        ('isabel', 'inlet', 'damage')        |   ['2']    | 1  |
|         ('isabel', 'occurred', 'in')        |   ['2']    | 1  |
|           ('isabel', 'was', 'the')          |   ['2']    | 1  |
|         ('isabel', 'washed', 'out')         |   ['2']    | 1  |
|           ('island', 'to', 'form')          |   ['2']    | 1  |
|           ('islands', 'from', 'a')          |   ['2']    | 1  |
|       ('it', 'moved', 'northwestward')      |   ['2']    | 1  |
|        ('it', 'quickly', 'weakened')        |   ['2']    | 1  |
|      ('it', 'steadily', 'strengthened')     |   ['2']    | 1  |
|          ('its', 'location', 'and')         |   ['1']    | 1  |
|          ('kmh', 'on', 'september')         |   ['2']    | 1  |
|          ('known', 'as', 'isabel')          |   ['2']    | 1  |
|          ('land', 'and', 'became')          |   ['2']    | 1  |
|          ('landfall', 'on', 'the')          |   ['2']    | 1  |
|          ('large', 'bodies', 'of')          |   ['1']    | 1  |
|          ('light', 'wind', 'shear')         |   ['2']    | 1  |
|       ('local', 'flooding', 'caused')       |   ['2']    | 1  |
|       ('location', 'and', 'strength')       |   ['1']    | 1  |
| ('low-level', 'atmospheric', 'circulation') |   ['1']    | 1  |
|       ('low-pressure', 'center', 'a')       |   ['1']    | 1  |
|          ('made', 'landfall', 'on')         |   ['2']    | 1  |
|         ('mainly', 'because', 'the')        |   ['1']    | 1  |
|         ('major', 'hurricane', 'of')        |   ['2']    | 1  |
|    ('mid-latitude', 'cyclonic', 'storms')   |   ['1']    | 1  |
|          ('moist', 'air', 'rises')          |   ['1']    | 1  |
|        ('momentum', 'imparted', 'by')       |   ['1']    | 1  |
|          ('more', 'rural', 'areas')         |   ['2']    | 1  |
|          ('most', 'deaths', 'and')          |   ['2']    | 1  |
|      ('moved', 'northwestward', 'and')      |   ['2']    | 1  |
|            ('moving', 'in', 'a')            |   ['1']    | 1  |
|            ('mph', '165', 'kmh')            |   ['2']    | 1  |
|            ('mph', '265', 'kmh')            |   ['2']    | 1  |
|         ('named', 'storm', 'fifth')         |   ['2']    | 1  |
|     ('names', 'including', 'hurricane')     |   ['1']    | 1  |
|           ('near', 'the', 'cape')           |   ['2']    | 1  |
|            ('next', 'day', 'in')            |   ['2']    | 1  |
|         ('ninth', 'named', 'storm')         |   ['2']    | 1  |
|      ('noreasters', 'and', 'european')      |   ['1']    | 1  |
|         ('north', 'as', 'richmond')         |   ['2']    | 1  |
|           ('north', 'as', 'with')           |   ['1']    | 1  |
|         ('north', 'carolina', 'and')        |   ['2']    | 1  |
|         ('north', 'carolina', 'the')        |   ['2']    | 1  |
|        ('north', 'carolina', 'with')        |   ['2']    | 1  |
|     ('northeastern', 'pacific', 'ocean')    |   ['1']    | 1  |
|      ('northern', 'hemisphere', 'and')      |   ['1']    | 1  |
|     ('northwestern', 'pacific', 'ocean')    |   ['1']    | 1  |
|      ('northwestward', 'and', 'within')     |   ['2']    | 1  |
|         ('occurred', 'in', 'north')         |   ['2']    | 1  |
|        ('occurred', 'in', 'virginia')       |   ['2']    | 1  |
|           ('occurs', 'in', 'the')           |   ['1']    | 1  |
|            ('ocean', 'and', 'a')            |   ['1']    | 1  |
|       ('ocean', 'and', 'northeastern')      |   ['1']    | 1  |
|          ('ocean', 'basins', 'as')          |   ['1']    | 1  |
